is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,外资,2022,AAA,0.1694,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",5548617.0,4260043.0,565326,1288574,B,8338600,1089270,401263,4,40644604,2006131,100%,0,0,0,否,4762663,1227942,未命中,未命中,未命中,正常,401870,57370,140723,否,否,交通运输,上海分行
False,否,测试企业_1_优质有限公司,合资,2018,AA,0.029,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",29623255.0,26426840.0,1530389,3196415,A,4006409,1711421,202959,2,44052071,4325365,100%,0,0,0,否,12979331,4311547,未命中,未命中,未命中,正常,116842,16292,21103,否,否,批发零售,深圳分行
True,是,测试企业_2_风险有限公司,合资,2021,C,0.8379,是,"贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业实际控制人失联，风险陡增。",3351647.0,3296203.0,73699,55444,D,45715,-449442,1914,6,44108864,797790,79%,5,9,875622,是,15016035,12416769,命中,未命中,命中,高风险,366804,354991,301752,否,否,制造业,广州分行
False,否,测试企业_3_优质有限公司,外资,2022,AAA,0.09,否,贷后检查：企业近期经营正常，无异常风险信号。,5642256.0,4165971.0,684919,1476285,A,3441223,1282005,309433,2,26222829,3949084,100%,0,0,0,否,5799853,1247245,未命中,未命中,未命中,正常,480130,89167,227216,否,否,计算机服务业,成都分行
False,否,测试企业_4_优质有限公司,合资,2011,A,0.0334,否,贷后检查：企业订单量稳定，现金流充裕。,16463590.0,13635403.0,1325958,2828187,A,2383222,1876616,118711,2,13122617,3624946,100%,0,0,0,否,5498152,1854393,未命中,未命中,未命中,正常,311034,45486,102147,否,否,餐饮业,深圳分行
False,否,测试企业_5_优质有限公司,外资,2016,AA,0.0671,否,贷后检查：企业近期经营正常，无异常风险信号。,36970547.0,28300497.0,4371104,8670050,B,2876870,717641,488004,1,19880175,2160825,100%,0,0,0,否,14518803,3967873,未命中,未命中,未命中,正常,153319,61757,51665,否,否,批发零售,上海分行
False,否,测试企业_6_优质有限公司,国有,2015,AA,0.0193,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",28049016.0,18958706.0,4463492,9090310,B,6999394,972758,292321,1,41332586,2816951,100%,0,0,0,否,1116336,225231,未命中,未命中,未命中,正常,280024,58260,122731,否,否,交通运输,深圳分行
True,是,测试企业_7_风险有限公司,外资,2012,B,0.7583,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业存在延迟付息情况，需关注。",37539846.0,50068313.0,-6221946,-12528467,D,27990,-327511,174,7,49388560,623807,62%,5,9,920495,是,10606960,10181038,命中,命中,命中,高风险,204737,185006,200022,是,是,批发零售,成都分行
True,是,测试企业_8_风险有限公司,民营,2016,B,0.529,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业存在延迟付息情况，需关注。

贷后检查：企业实际控制人失联，风险陡增。",15282257.0,21363545.0,-2951717,-6081288,D,8984,-30524,1178,7,28209513,3049647,57%,3,5,314951,是,17375147,15495977,未命中,未命中,未命中,高风险,214209,201263,207794,否,是,批发零售,成都分行
True,是,测试企业_9_风险有限公司,合资,2012,B,0.7709,是,贷后检查：企业实际控制人失联，风险陡增。,8697729.0,8011711.0,264128,686018,D,22652,-93970,374,5,36089404,3252103,67%,3,6,159140,是,14728443,13408453,未命中,命中,命中,高风险,75858,73882,65346,是,否,交通运输,广州分行
