is_risky,label,entityname,nature,firstcreditx_year,cred_level_desc,threshold,risk_flag,check_result,corp_oper_income_24m,corp_oper_expns_24m,corp_oper_diff_12m,corp_oper_diff_24m,taxes_level_cd,corp_curr_fin_asset_bal,corp_curr_fin_asset_bal_diff,total_avg_depst_bal_3m,n_ph_num4,n_ph_amt4,n_ph_amt2,unpayoff_mg_ratio,rep_overdue_cnt_3m,rep_overdue_cnt_24m,corp_curr_lab_amt,flag_8,creditamt,amtused,n_u0343_hit,n_ph_amt1_hit,n_ph_amt2_hit,tj_result,rep_crdt_card_limit,rep_crdt_card_avg_limit_6m,rep_crdt_card_used_limit,reserve_8,down30,industry_cd_desc,branchname
False,否,测试企业_0_优质有限公司,合资,2021,A,0.0435,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",3290171.0,2953796.0,260362,336375,B,7933946,1114320,90405,3,7224419,3698308,100%,0,0,0,否,12872114,4063300,未命中,未命中,未命中,正常,477760,64766,77624,否,否,批发零售,上海分行
False,否,测试企业_1_优质有限公司,民营,2022,AA,0.0718,否,贷后检查：企业订单量稳定，现金流充裕。,10214420.0,7144579.0,1563732,3069841,B,3655919,363649,404393,4,44151969,2027696,100%,0,0,0,否,15095723,4068997,未命中,未命中,未命中,正常,419467,56513,126074,否,否,批发零售,深圳分行
False,否,测试企业_2_优质有限公司,民营,2011,A,0.1237,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",44682295.0,39412521.0,2645196,5269774,A,5664601,1709950,225304,2,38139535,1705913,100%,0,0,0,否,15111234,4284164,未命中,未命中,未命中,正常,74617,21868,25640,否,否,交通运输,成都分行
False,否,测试企业_3_优质有限公司,外资,2020,A,0.057,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",4241186.0,2631112.0,892044,1610074,B,6528204,686699,90125,1,37718410,1150269,100%,0,0,0,否,7876474,951107,未命中,未命中,未命中,正常,482353,172645,150628,否,否,餐饮业,深圳分行
False,否,测试企业_4_优质有限公司,民营,2015,AAA,0.1112,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",19708172.0,15137239.0,2227055,4570933,A,6312388,921506,411406,1,43109462,1394427,100%,0,0,0,否,17559526,2799492,未命中,未命中,未命中,正常,91765,27407,19086,否,否,建筑业,成都分行
False,否,测试企业_5_优质有限公司,民营,2011,AAA,0.0923,否,贷后检查：企业订单量稳定，现金流充裕。,13925054.0,12298135.0,731586,1626919,B,9226842,1312408,225785,3,32837094,1135672,100%,0,0,0,否,12747786,1481499,未命中,未命中,未命中,正常,174119,54494,37517,否,否,交通运输,深圳分行
False,否,测试企业_6_优质有限公司,合资,2014,AAA,0.1314,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",14894430.0,13135822.0,919117,1758608,B,4236423,1402425,185693,1,34508479,4814197,100%,0,0,0,否,15367717,1701987,未命中,未命中,未命中,正常,165174,17374,28401,否,否,计算机服务业,上海分行
False,否,测试企业_7_优质有限公司,国有,2022,AAA,0.135,否,贷后检查：企业近期经营正常，无异常风险信号。,36674472.0,28462970.0,4040986,8211502,B,1176715,1075169,394889,2,34619531,2085334,100%,0,0,0,否,1687845,405886,未命中,未命中,未命中,正常,59956,20716,23252,否,否,建筑业,广州分行
False,否,测试企业_8_优质有限公司,外资,2011,AA,0.0906,否,"贷后检查：企业近期经营正常，无异常风险信号。

贷后检查：企业订单量稳定，现金流充裕。",40450125.0,25380362.0,7512623,15069763,A,9781766,330432,389689,3,49288334,3565066,100%,0,0,0,否,19118367,2934635,未命中,未命中,未命中,正常,331234,154898,126127,否,否,计算机服务业,上海分行
False,否,测试企业_9_优质有限公司,合资,2018,AA,0.156,否,"贷后检查：企业订单量稳定，现金流充裕。

贷后检查：企业近期经营正常，无异常风险信号。",21375025.0,14222426.0,3497802,7152599,B,9979221,1967351,178604,2,24318137,4585193,100%,0,0,0,否,4704679,821903,未命中,未命中,未命中,正常,173780,37491,42950,否,否,制造业,深圳分行
False,否,测试企业_10_优质有限公司,国有,2019,AAA,0.1913,否,贷后检查：企业订单量稳定，现金流充裕。,40928442.0,25683871.0,7675576,15244571,B,5328850,1234258,450690,1,29338634,2577295,100%,0,0,0,否,2600836,642764,未命中,未命中,未命中,正常,164853,63121,47897,否,否,批发零售,北京分行
True,是,测试企业_11_风险有限公司,民营,2010,B,0.8839,是,"贷后检查：企业库存积压，销售回款放缓。

贷后检查：企业涉及诉讼，已冻结部分账户。",36273944.0,36743194.0,-285314,-469250,D,14014,-371715,3023,7,6706443,3413945,63%,5,5,363882,是,4064152,3258669,命中,命中,命中,高风险,135573,123606,113757,否,是,建筑业,深圳分行
False,否,测试企业_12_优质有限公司,民营,2020,AAA,0.058,否,贷后检查：企业订单量稳定，现金流充裕。,45360405.0,31436491.0,7038625,13923914,A,8072398,1371156,330485,3,39998498,2383175,100%,0,0,0,否,15476041,3671227,未命中,未命中,未命中,正常,255775,35531,79106,否,否,计算机服务业,北京分行
